                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.5029,                0.37163,                  1.182,                0.92154,                   0.96,                 0.9571,                0.80017,                0.71281,                0.42451,                 1.5901,              0.0006536,              0.0006536,              0.0006536
                     37,                 0.4835,                0.35525,                 1.1748,                0.94509,                   0.96,                0.95432,                0.81421,                 0.6894,                0.40884,                 1.5616,               0.000614,               0.000614,               0.000614
                     38,                0.50989,                0.36283,                 1.1847,                0.92351,                   0.96,                  0.955,                0.83025,                0.69657,                0.40434,                  1.546,              0.0005744,              0.0005744,              0.0005744
                     39,                0.46545,                0.34319,                 1.1262,                0.95183,                   0.96,                0.94838,                0.82281,                0.69927,                0.38514,                 1.5207,              0.0005348,              0.0005348,              0.0005348
                     40,                0.47164,                0.34851,                 1.1457,                0.94935,                   0.96,                0.94956,                0.80808,                0.69923,                0.39275,                 1.5253,              0.0004952,              0.0004952,              0.0004952
                     41,                0.63296,                0.40922,                 1.0603,                0.95496,                   0.96,                0.94876,                0.78635,                0.79763,                0.46162,                 1.8313,              0.0004556,              0.0004556,              0.0004556
                     42,                0.62521,                0.37521,                 1.0164,                0.95739,                   0.96,                0.95965,                0.77756,                0.77976,                0.42854,                 1.7954,               0.000416,               0.000416,               0.000416
                     43,                0.60061,                 0.3581,                 1.0581,                0.97834,                   0.96,                0.96145,                0.79215,                0.77679,                0.38759,                 1.7763,              0.0003764,              0.0003764,              0.0003764
                     44,                0.61437,                0.35584,                0.98643,                0.99713,                      1,                  0.995,                0.80456,                0.74012,                0.38836,                 1.7036,              0.0003368,              0.0003368,              0.0003368
                     45,                0.59383,                  0.367,                 1.0305,                0.99782,                      1,                  0.995,                0.82851,                0.74129,                0.35573,                 1.6731,              0.0002972,              0.0002972,              0.0002972
                     46,                0.57113,                0.33578,                0.99705,                0.95958,                      1,                0.99346,                0.82971,                0.73077,                 0.3681,                 1.7412,              0.0002576,              0.0002576,              0.0002576
                     47,                0.57783,                0.34625,                0.98093,                0.96149,                0.99865,                0.99346,                0.83103,                0.70445,                0.39033,                 1.7055,               0.000218,               0.000218,               0.000218
                     48,                0.60727,                0.33796,                 1.0451,                0.97765,                   0.96,                0.99204,                0.84248,                0.69534,                0.38777,                 1.6842,              0.0001784,              0.0001784,              0.0001784
                     49,                0.56173,                0.33662,                0.96972,                0.99002,                   0.96,                0.98833,                0.85069,                0.71609,                 0.3767,                 1.7129,              0.0001388,              0.0001388,              0.0001388
                     50,                0.55062,                0.32035,                0.95427,                0.99335,                   0.96,                0.98625,                0.85394,                0.72645,                0.35321,                 1.7083,               9.92e-05,               9.92e-05,               9.92e-05
